"","participant","expName","Stim","Arousal_rate.response","Valence_rate.response","Familiarity_rate.response","Pleasantness_rate.response"
"63",25,"V6","Fireplace Full.wav",3.013671875,5.513671875,7,5.5625
"64",27,"V2","Radetzky March (Spot).wav",5.97395833333333,6.015625,6.97916666666666,6.0625
"65",27,"V2","Tritsch-Tratsch (Spot).wav",7,6.015625,4.98958333333333,6.01041666666666
"66",27,"V2","Piano Sonata No. 11 (Spot).wav",6.04166666666666,5.97395833333333,5.95833333333333,6.01041666666666
"67",28,"V3","Night on Bare Mountain (Spot).wav",5.982421875,1.998046875,6.9736328125,5.9970703125
"68",28,"V3","Moonlight Sonata (Spot).wav",2.984375,4.56640625,5.513671875,5.0205078125
"69",28,"V3","Four Seasons Summer (Spot).wav",5.9970703125,4.986328125,4.99609375,5.5185546875
"70",29,"V4","Unt Donner Unt Blitz (Spot).wav",5.5087890625,5.435546875,7,4.9326171875
"71",29,"V4","Gypsy Baron (Spot).wav",5.025390625,4.9912109375,6.96875,5.6357421875
"72",29,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",5.5087890625,5.50390625,6.98828125,4.9423828125
"73",30,"V5","L’Incendie (Spot).wav",5.984375,4.61979166666666,4.38020833333333,2.41666666666666
"74",30,"V5","Chaconne in G (Spot).wav",2.38020833333333,2.0625,2.42708333333333,2.28645833333333
"75",30,"V5","String Quartet No. 8 (Spot).wav",2.63541666666666,2.88541666666666,1.30208333333333,1.234375
"76",31,"V6","Healing Water Full.wav",4.9619140625,5.5087890625,6.353515625,4.986328125
"77",31,"V6","Aircraft Cabin Full.wav",2.798828125,4.01953125,4.91796875,2.4912109375
"78",31,"V6","Fireplace Full.wav",5.7626953125,4.2880859375,3.384765625,2.0224609375
"79",33,"V2","Tritsch-Tratsch (Spot).wav",5.50390625,6.4853515625,4.0146484375,5.513671875
"80",33,"V2","Piano Sonata No. 11 (Spot).wav",5.4599609375,5.640625,5.8408203125,5.982421875
"81",33,"V2","Radetzky March (Spot).wav",6.314453125,6.6025390625,2.6376953125,5.0888671875
"82",34,"V3","Night on Bare Mountain (Spot).wav",5.015625,2.994140625,5.9873046875,1.0458984375
"83",34,"V3","Moonlight Sonata (Spot).wav",4.0146484375,4.9716796875,5.962890625,3.1455078125
"84",34,"V3","Four Seasons Summer (Spot).wav",6.0361328125,2.1201171875,5.953125,1.10937499999999
"85",35,"V4","Unt Donner Unt Blitz (Spot).wav",5.6064453125,7,2.4912109375,3.4873046875
"86",35,"V4","Gypsy Baron (Spot).wav",7,5.962890625,1.97363281249999,3.208984375
"87",35,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",6.01171875,6.0361328125,6.0703125,3.7900390625
"88",36,"V5","Chaconne in G (Spot).wav",5.015625,2.0126953125,1.0166015625,2.0419921875
"89",36,"V5","L’Incendie (Spot).wav",6.001953125,2.9404296875,1.9833984375,2.0615234375
"90",36,"V5","String Quartet No. 8 (Spot).wav",6.373046875,2.9892578125,1.95898437499999,1.5146484375
"91",37,"V6","Healing Water Full.wav",1.02148437499999,5.9873046875,3.990234375,6.041015625
"92",37,"V6","Aircraft Cabin Full.wav",1.9833984375,2.0029296875,6.9736328125,4.9814453125
"93",37,"V6","Fireplace Full.wav",1.998046875,3.9951171875,1.0849609375,3.0625
"94",39,"V2","Tritsch-Tratsch (Spot).wav",6.509765625,6.4169921875,6.3095703125,5.9873046875
"95",39,"V2","Piano Sonata No. 11 (Spot).wav",6.6806640625,6.197265625,6.96875,6.4853515625
"96",39,"V2","Radetzky March (Spot).wav",6.3583984375,5.904296875,3.9951171875,5.5380859375
"97",40,"V3","Moonlight Sonata (Spot).wav",5.0107421875,2.9306640625,6.9345703125,5.0791015625
"98",40,"V3","Four Seasons Summer (Spot).wav",4.9521484375,3.580078125,7,6.109375
"99",40,"V3","Night on Bare Mountain (Spot).wav",5.6064453125,3.3017578125,7,5.4697265625
"100",41,"V4","Gypsy Baron (Spot).wav",5.9580078125,5.97265625,5.015625,4.9912109375
"101",41,"V4","Unt Donner Unt Blitz (Spot).wav",4.0146484375,5.0546875,4.029296875,6.978515625
"102",41,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",6.0361328125,4,3.98046875,5.9970703125
"103",42,"V5","L’Incendie (Spot).wav",6.2802734375,1.9052734375,1.43164062499999,5.5185546875
"104",42,"V5","Chaconne in G (Spot).wav",5.5966796875,1.2314453125,1.2216796875,3.6435546875
"105",42,"V5","String Quartet No. 8 (Spot).wav",5.7822265625,1.44140625,1.5537109375,2.8525390625
"106",43,"V6","Fireplace Full.wav",3.0087890625,5.9921875,3.9951171875,6.978515625
"107",43,"V6","Healing Water Full.wav",4.078125,4.9326171875,5.9580078125,4.9033203125
"108",43,"V6","Aircraft Cabin Full.wav",3.9609375,3.0478515625,1.978515625,2.0615234375
"109",45,"V2","Radetzky March (Spot).wav",5.025390625,6.822265625,5.0107421875,6.9248046875
"110",45,"V2","Tritsch-Tratsch (Spot).wav",4.95703125,5.9287109375,1,5.494140625
"111",45,"V2","Piano Sonata No. 11 (Spot).wav",6.24609375,3.0234375,7,6.373046875
"112",46,"V3","Four Seasons Summer (Spot).wav",5.0009765625,3.404296875,6.96875,6.65625
"113",46,"V3","Moonlight Sonata (Spot).wav",3.78515625,3.375,6.9931640625,6.0849609375
"114",46,"V3","Night on Bare Mountain (Spot).wav",5.376953125,2.7060546875,5.162109375,5.533203125
"115",47,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",5.005859375,6.744140625,7,6.734375
"116",47,"V4","Gypsy Baron (Spot).wav",4.654296875,6.8759765625,5.5087890625,6.0068359375
"117",47,"V4","Unt Donner Unt Blitz (Spot).wav",4.986328125,6.548828125,7,6.01171875
"118",48,"V5","Chaconne in G (Spot).wav",3.4970703125,2.65234375,3.2431640625,3.0380859375
"119",48,"V5","String Quartet No. 8 (Spot).wav",4.6005859375,3.1015625,4.5322265625,1.822265625
"120",48,"V5","L’Incendie (Spot).wav",4.4052734375,2.9794921875,2.623046875,1.6318359375
"121",49,"V6","Fireplace Full.wav",3.23828125,4.5859375,5.4453125,3.6142578125
"122",49,"V6","Aircraft Cabin Full.wav",4.3759765625,4.0244140625,5.9873046875,1.763671875
"123",49,"V6","Healing Water Full.wav",5.298828125,6.3681640625,4.5029296875,5.81640625
"124",51,"V2","Radetzky March (Spot).wav",2.9892578125,6.9248046875,2.4228515625,2.45703125
"125",51,"V2","Tritsch-Tratsch (Spot).wav",3.990234375,7,2.9794921875,3.501953125
"126",51,"V2","Piano Sonata No. 11 (Spot).wav",4.9716796875,3.9853515625,5.46484375,5.0986328125
"127",52,"V3","Four Seasons Summer (Spot).wav",5.9189453125,3.111328125,5.3818359375,5.40625
"128",52,"V3","Moonlight Sonata (Spot).wav",2.5986328125,2.75,6.98828125,7
"129",52,"V3","Night on Bare Mountain (Spot).wav",6.1044921875,2.4912109375,4.0244140625,4.0244140625
"130",53,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",4.0439453125,4,5.07421875,5.0009765625
"131",53,"V4","Gypsy Baron (Spot).wav",4.087890625,4,3.0771484375,3.9853515625
"132",53,"V4","Unt Donner Unt Blitz (Spot).wav",5.0400390625,3.990234375,4.1123046875,6.01171875
"133",54,"V5","Chaconne in G (Spot).wav",4.8544921875,1,1,2.974609375
"134",54,"V5","L’Incendie (Spot).wav",6.0556640625,1,3.9951171875,2.046875
"135",54,"V5","String Quartet No. 8 (Spot).wav",6.1142578125,2.017578125,2.046875,1.97363281249999
"136",55,"V6","Aircraft Cabin Full.wav",1.4560546875,2.9794921875,3.9853515625,1.998046875
"137",55,"V6","Fireplace Full.wav",1,5.9384765625,6.55859375,6.0849609375
"138",55,"V6","Healing Water Full.wav",2.4375,7,5.572265625,6.0849609375
"139",57,"V2","Radetzky March (Spot).wav",4.009765625,5.9970703125,5.962890625,1.98828124999999
"140",57,"V2","Piano Sonata No. 11 (Spot).wav",4.0048828125,5.982421875,6.9931640625,4
"141",57,"V2","Tritsch-Tratsch (Spot).wav",4.99609375,6.48046875,1.9931640625,1
"142",58,"V3","Moonlight Sonata (Spot).wav",2.796875,3.29166666666666,4.85416666666666,6.05729166666666
"143",58,"V3","Four Seasons Summer (Spot).wav",4.97916666666666,4.02083333333333,2.96875,3.93229166666666
"144",58,"V3","Night on Bare Mountain (Spot).wav",6.08854166666666,2.97916666666666,4.796875,2.04166666666666
"145",59,"V4","Gypsy Baron (Spot).wav",5.943359375,6.8369140625,7,5.62109375
"146",59,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",5.3671875,5.2548828125,6.529296875,5.611328125
"147",59,"V4","Unt Donner Unt Blitz (Spot).wav",4.3076171875,4.4150390625,5.298828125,4.3173828125
"148",60,"V5","Chaconne in G (Spot).wav",4.28125,4.98958333333333,5.64583333333333,5.50520833333333
"149",60,"V5","String Quartet No. 8 (Spot).wav",5.38541666666666,3.72916666666666,4.80729166666666,2.56770833333333
"150",60,"V5","L’Incendie (Spot).wav",6.20833333333333,3.69791666666666,4.48958333333333,1.88020833333333
"151",61,"V6","Fireplace Full.wav",5.0009765625,5.0205078125,6.9248046875,5.03515625
"152",61,"V6","Healing Water Full.wav",6.978515625,6.96875,5.9580078125,7
"153",61,"V6","Aircraft Cabin Full.wav",1.001953125,1,7,1.0458984375
"154",63,"V2","Radetzky March (Spot).wav",5.9873046875,6.021484375,4.9619140625,4.9765625
"155",63,"V2","Piano Sonata No. 11 (Spot).wav",5.0546875,4.9765625,6.08984375,5.9677734375
"156",63,"V2","Tritsch-Tratsch (Spot).wav",6.0361328125,6.9736328125,5.09375,4.9814453125
"157",64,"V3","Four Seasons Summer (Spot).wav",6.01171875,2.212890625,7,3.0234375
"158",64,"V3","Moonlight Sonata (Spot).wav",2.9599609375,2.212890625,4.7177734375,6.5439453125
"159",64,"V3","Night on Bare Mountain (Spot).wav",6.94921875,3.775390625,3.94140625,1.5537109375
"160",65,"V4","Unt Donner Unt Blitz (Spot).wav",4.986328125,5.982421875,5.025390625,3.990234375
"161",65,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",5.9091796875,4.986328125,7,4.1171875
"162",65,"V4","Gypsy Baron (Spot).wav",5.083984375,5.9287109375,5.9775390625,3.052734375
"163",66,"V5","String Quartet No. 8 (Spot).wav",6.9931640625,3.0185546875,5.9677734375,5.9677734375
"164",66,"V5","L’Incendie (Spot).wav",4.9765625,3.9853515625,5.025390625,5.0595703125
"165",66,"V5","Chaconne in G (Spot).wav",2.96484375,3.0087890625,3.990234375,5.591796875
"166",67,"V6","Aircraft Cabin Full.wav",1.5537109375,3.8046875,5.494140625,3.2724609375
"167",67,"V6","Healing Water Full.wav",3.62890625,4.2490234375,3.677734375,4.9619140625
"168",67,"V6","Fireplace Full.wav",2.0517578125,4.0244140625,5.123046875,5.03515625
"169",69,"V2","Radetzky March (Spot).wav",1.646484375,6.841796875,7,6.44140625
"170",69,"V2","Tritsch-Tratsch (Spot).wav",1.8369140625,6.2900390625,6.060546875,6.6220703125
"171",69,"V2","Piano Sonata No. 11 (Spot).wav",1.7734375,5.11328125,7,7
"172",70,"V3","Four Seasons Summer (Spot).wav",4.9765625,1.9833984375,7,6.0166015625
"173",70,"V3","Moonlight Sonata (Spot).wav",6.01171875,2.0126953125,1.9931640625,5.005859375
"174",70,"V3","Night on Bare Mountain (Spot).wav",5.630859375,1.01171875,2.9599609375,5.6162109375
"175",71,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",6.021484375,6.9833984375,4.9765625,6.0068359375
"176",71,"V4","Gypsy Baron (Spot).wav",5.8603515625,6.05078125,3.0087890625,2.837890625
