"","participant","expName","Stim","Arousal_rate.response","Valence_rate.response","Familiarity_rate.response","Pleasantness_rate.response"
"270",108,"V5","Chaconne in G (Spot).wav",4.0048828125,1.9833984375,5.0205078125,2.984375
"271",109,"V6","Aircraft Cabin Full.wav",1.03125,2.95089285714285,1.88839285714285,1.95535714285714
"272",109,"V6","Healing Water Full.wav",4.08035714285714,6.06696428571428,3.99107142857142,5.91964285714285
"273",109,"V6","Fireplace Full.wav",3.03125,3.97321428571428,4.01785714285714,2.91964285714285
"274",111,"V2","Radetzky March (Spot).wav",4.9814453125,5.015625,5.9580078125,4.009765625
"275",111,"V2","Piano Sonata No. 11 (Spot).wav",5.97265625,6.9736328125,5.9580078125,4.9814453125
"276",111,"V2","Tritsch-Tratsch (Spot).wav",5.4697265625,7,6.5341796875,4.95703125
"277",112,"V3","Moonlight Sonata (Spot).wav",3.9560546875,2.9892578125,4.986328125,5.9970703125
"278",112,"V3","Night on Bare Mountain (Spot).wav",4.9912109375,2.9990234375,4.99609375,4.966796875
"279",112,"V3","Four Seasons Summer (Spot).wav",5.0546875,4.986328125,5.9775390625,4.95703125
"280",113,"V4","Gypsy Baron (Spot).wav",7,6.0263671875,5.005859375,7
"281",113,"V4","Unt Donner Unt Blitz (Spot).wav",6.041015625,6.05078125,5.015625,6.919921875
"282",113,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",6.9931640625,4.966796875,6.9345703125,5.97265625
"283",114,"V5","String Quartet No. 8 (Spot).wav",4.9814453125,3.375,5.9384765625,3.0966796875
"284",114,"V5","L’Incendie (Spot).wav",4.3271484375,4,3.9658203125,3.3603515625
"285",114,"V5","Chaconne in G (Spot).wav",5.7041015625,5.3134765625,2.5400390625,6.20703125
"286",115,"V6","Aircraft Cabin Full.wav",5.005859375,4.908203125,3.189453125,5.1865234375
"287",115,"V6","Healing Water Full.wav",5.318359375,6.03125,5.005859375,6.4072265625
"288",115,"V6","Fireplace Full.wav",4.712890625,4.95703125,4.5322265625,5.3427734375
"289",117,"V2","Tritsch-Tratsch (Spot).wav",4.9765625,5.8212890625,6.001953125,6.0068359375
"290",117,"V2","Radetzky March (Spot).wav",5.8896484375,5.982421875,6.6513671875,6.5146484375
"291",117,"V2","Piano Sonata No. 11 (Spot).wav",4.5224609375,4.09765625,5.8115234375,5.89453125
"292",118,"V3","Moonlight Sonata (Spot).wav",2.994140625,1.9052734375,6.998046875,6.099609375
"293",118,"V3","Night on Bare Mountain (Spot).wav",3.931640625,1.98828124999999,6.94921875,6.1484375
"294",118,"V3","Four Seasons Summer (Spot).wav",3.94140625,3.0966796875,6.890625,6.060546875
"295",119,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",3.6875,6.5537109375,7,5.5478515625
"296",119,"V4","Gypsy Baron (Spot).wav",3.4287109375,5.6162109375,4.5322265625,4.9814453125
"297",119,"V4","Unt Donner Unt Blitz (Spot).wav",4.78125,6.7197265625,4.537109375,4.60546875
"298",120,"V5","L’Incendie (Spot).wav",4.8544921875,4.166015625,1.998046875,5.46484375
"299",120,"V5","Chaconne in G (Spot).wav",4.458984375,2.7841796875,1,4.4052734375
"300",120,"V5","String Quartet No. 8 (Spot).wav",5.4794921875,2.3349609375,1,5.4404296875
"301",121,"V6","Healing Water Full.wav",2.4765625,4.4833984375,6.0654296875,6.177734375
"302",121,"V6","Aircraft Cabin Full.wav",2.4228515625,3.98046875,5.9677734375,5.6845703125
"303",121,"V6","Fireplace Full.wav",1.8466796875,4.0439453125,6.119140625,6.65625
"304",123,"V2","Piano Sonata No. 11 (Spot).wav",1.98828124999999,5.0009765625,5.9921875,3.00390625
"305",123,"V2","Radetzky March (Spot).wav",6.001953125,6.9736328125,6.060546875,3.970703125
"306",123,"V2","Tritsch-Tratsch (Spot).wav",4.986328125,6.03125,5.9384765625,2.1201171875
"307",124,"V3","Night on Bare Mountain (Spot).wav",5.4501953125,2.8232421875,5.6845703125,5.7138671875
"308",124,"V3","Moonlight Sonata (Spot).wav",2.8916015625,2.1005859375,5.962890625,3.7509765625
"309",124,"V3","Four Seasons Summer (Spot).wav",4.390625,4.6005859375,4.95703125,4.625
"310",125,"V4","Unt Donner Unt Blitz (Spot).wav",5.044921875,5.474609375,4.966796875,4.5126953125
"311",125,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",4.9814453125,4.9814453125,6.529296875,4.5419921875
"312",125,"V4","Gypsy Baron (Spot).wav",4.498046875,5.54296875,3.0185546875,4.9716796875
"313",126,"V5","L’Incendie (Spot).wav",5.9287109375,4.9814453125,1.97363281249999,4.986328125
"314",126,"V5","String Quartet No. 8 (Spot).wav",6.0068359375,4.0439453125,2.0029296875,4.4541015625
"315",126,"V5","Chaconne in G (Spot).wav",4.517578125,3.013671875,2.0126953125,3.5556640625
"316",127,"V6","Aircraft Cabin Full.wav",2.45703125,3.013671875,6.1044921875,4.0439453125
"317",127,"V6","Fireplace Full.wav",4.009765625,4.986328125,7,5.9677734375
"318",127,"V6","Healing Water Full.wav",4.9814453125,6.001953125,7,5.5283203125
"319",129,"V2","Tritsch-Tratsch (Spot).wav",4.99609375,6.0263671875,1.0166015625,5.9970703125
"320",129,"V2","Radetzky March (Spot).wav",5.962890625,6.0458984375,1.00683593749999,5.962890625
"321",129,"V2","Piano Sonata No. 11 (Spot).wav",5.015625,4,7,5.0302734375
"322",130,"V3","Four Seasons Summer (Spot).wav",6.109375,3.0478515625,6.2412109375,1.96875
"323",130,"V3","Moonlight Sonata (Spot).wav",5.9384765625,1.5244140625,5.953125,3.013671875
"324",130,"V3","Night on Bare Mountain (Spot).wav",6.685546875,3.5068359375,4.95703125,1.1435546875
"325",131,"V4","Unt Donner Unt Blitz (Spot).wav",5.9970703125,5.0986328125,4.99609375,5.93359375
"326",131,"V4","Gypsy Baron (Spot).wav",6.0068359375,6.1142578125,6.0654296875,5.0302734375
"327",131,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",5.982421875,6.0849609375,4.83984375,5.9775390625
"328",132,"V5","L’Incendie (Spot).wav",6.51953125,5.474609375,5.9921875,5.9970703125
"329",132,"V5","Chaconne in G (Spot).wav",3.5263671875,2.5107421875,2.5009765625,4.0048828125
"330",132,"V5","String Quartet No. 8 (Spot).wav",5.0009765625,3.033203125,1,2.49609375
"331",133,"V6","Fireplace Full.wav",2.96484375,5.0107421875,2.9990234375,4.95703125
"332",133,"V6","Healing Water Full.wav",3.0234375,5.9677734375,3.9658203125,6.01171875
"333",133,"V6","Aircraft Cabin Full.wav",4.0244140625,3.9755859375,1.88574218749999,2.9794921875
"334",135,"V2","Tritsch-Tratsch (Spot).wav",6.021484375,5.9775390625,6.98828125,5.005859375
"335",135,"V2","Piano Sonata No. 11 (Spot).wav",6.9541015625,5.6845703125,6.98828125,6.9638671875
"336",135,"V2","Radetzky March (Spot).wav",6.8564453125,6.3291015625,7,6.470703125
"337",136,"V3","Moonlight Sonata (Spot).wav",4.0341796875,2.955078125,7,5.982421875
"338",136,"V3","Night on Bare Mountain (Spot).wav",5.025390625,5.0888671875,6.8369140625,4.99609375
"339",136,"V3","Four Seasons Summer (Spot).wav",5.0107421875,4.99609375,6.98828125,5.005859375
"340",137,"V4","Gypsy Baron (Spot).wav",4.99609375,5.005859375,4.0146484375,3.9365234375
"341",137,"V4","The Barber of Seville - Figaro’s Aria (Instrumental) Take 3.wav",4.0244140625,5.044921875,5.0302734375,4.91796875
"342",137,"V4","Unt Donner Unt Blitz (Spot).wav",3.9462890625,4.9912109375,2.9599609375,3.951171875
